NameEng,AddressEng,NameChi,AddressChi
CHEONG YUE MANSION,13-19 NORTH STREET,昌裕大廈,北街13-19號
NO. 60 VICTORIA ROAD,60 VICTORIA ROAD,域多利道60號,域多利道60號
SIK ON HOUSE,54-66 HILL ROAD,適安大廈,山道54-66號
MOUNT DAVIS,33 KA WAI MAN ROAD,怡峰,加惠民道33號
FOOK ON MANSION,23-25 NORTH STREET,福安大廈,北街23-25號
KENNEDY MANSION,165-175 BELCHER'S STREET,堅尼地大廈,卑路乍街165-175號
YEN SHUN MANSION,142-150 THIRD STREET,仁信大廈,第三街142-150號
CLARENCE COURT,8-16 CLARENCE TERRACE,嘉利大廈,加倫臺8-16號
NAM WAH MANSION,5-9 SOUTH LANE,南華大廈,南里5-9號
HANG LUNG BANK WESTERN BRANCH BUILDING,15 HILL ROAD,恆隆銀行西區分行大廈,山道15號
ROCKSON MANSION,371-379 QUEEN'S ROAD WEST,樂信大廈,皇后大道西371-379號
MUI FUNG APARTMENTS,26 MUI FONG STREET,梅芳大廈,梅芳街26號
YEN FOOK BUILDING (MANSION),120-126 SECOND STREET,仁福大廈,第二街120-126號
YEE SHUN MANSION,58-66 SECOND STREET,宜順大廈,第二街58-66號
RICHSUN GARDEN,51 CENTRE STREET,裕豐花園,正街51號
KAM HO COURT,144-148 BELCHER'S STREET,金豪閣,卑路乍街144-148號
WESTVIEW HEIGHT,163 BELCHER'S STREET,聚賢逸居,卑路乍街163號
FUNG YAT BUILDING,38-40 THIRD STREET,豐逸大廈,第三街38-40號
JOHNSON MANSION,428-440 QUEEN'S ROAD WEST,真善美大廈,皇后大道西428-440號
LUEN TAK BUILDING,180-188A DES VOEUX ROAD WEST,聯德大廈,德輔道西180-188A號
TUNG WAI GARDEN,419G QUEEN'S ROAD WEST,東蔚苑,皇后大道西419G號
MAN FAT BUILDING (MANSION),20-28 SANDS STREET,萬發大樓,山市街20-28號
AVA 128,124-128 DES VOEUX ROAD WEST,AVA 128,德輔道西124-128號
SANG CHEONG BUILDING,427-437 QUEEN'S ROAD WEST,生昌大廈,皇后大道西427-437號
NAN SANG BUILDING,86 BELCHER'S STREET,南生大廈,卑路乍街86號
LUEN WAH MANSION,518-520 QUEEN'S ROAD WEST,聯華大廈,皇后大道西518-520號
FUNG SING MANSION,133 THIRD STREET,豐盛大廈,第三街133號
AXEFORD VILLA,3-5 SANDS STREET,雅福台,山市街3-5號
WING HING HOUSE,476-482 QUEEN'S ROAD WEST,永興樓,皇后大道西476-482號
LUNGGA MANSION,46A BELCHER'S STREET,隆基大樓,卑路乍街46A號
ONE SOUTH LANE,1 SOUTH LANE,南里壹號,南里1號
GRAND FORTUNE MANSION,1-1A DAVIS STREET,裕福大廈,爹核士街1-1A號
WEALTH BUILDING,53-65 HIGH STREET,富裕大廈,高街53-65號
CHING TAK BUILDING,260-264 DES VOEUX ROAD WEST,正德大廈,德輔道西260-264號
WING CHEUNG BUILDING,19-29 WESTERN STREET,永祥大廈,西邊街19-29號
SHUN FAI BUILDING,19 HAU WO STREET,順暉大廈,厚和街19號
KAM LING COURT,10-20 WHITTY STREET,金陵大廈,屈地街10-20號
GOODWILL GARDEN,83 THIRD STREET,康和花園,第三街83號
ANDES PLAZA,311-325 QUEEN'S ROAD WEST,安達中心,皇后大道西311-325號
MANIFOLD COURT,36-46 POK FU LAM ROAD,萬林閣,薄扶林道36-46號
IMPERIAL KENNEDY,68 BELCHER'S STREET,IMPERIAL KENNEDY,卑路乍街68號
KING'S HILL,38 WESTERN STREET,?德山,西邊街38號
SUN ON BUILDING,484-496 QUEEN'S ROAD WEST,新安大樓,皇后大道西484-496號
SINCERE WESTERN HOUSE,63-71 CADOGAN STREET,先施西環大廈,加多近街63-71號
CADOGAN,37A CADOGAN STREET,加多近山,加多近街37A號
SERENE COURT,35 SAI NING STREET,西寧閣,西寧街35號
TAI SANG BUILDING,1A SANDS STREET,太生大廈,山市街1A號
KENSINGTON HILL,98 HIGH STREET,KENSINGTON HILL,高街98號
KENNEDY TOWN BUILDING,"27 PRAYA, KENNEDY TOWN",城暉大廈,堅彌地城海旁27號
LA MAISON DU NORD,12A NORTH STREET,采逸軒,西環北街12A
FORTUNE VILLA,61-69 HILL ROAD,富山苑,山道61-69號
LUEN ON APARTMENTS,51 SMITHFIELD,聯安新樓,士美非路51號
BELCHER'S HILL,9 ROCK HILL STREET,寶雅山,石山街9號
MARKFIELD BUILDING,8 SMITHFIELD,美暉大廈,士美非路8號
VIKING COURT,165-166 CONNAUGHT ROAD WEST,偉景閣,干諾道西165-166號
LUEN FAT APARTMENTS,49 SMITHFIELD,聯發新樓,士美非路49號
MAY SUN BUILDING,55-57 CATCHICK STREET,美新大廈,吉席街55-57號
WO YICK MANSION,253-263 QUEEN'S ROAD WEST,和益大廈,皇后大道西253-263號
FUNG SHING BUILDING,168 CONNAUGHT ROAD WEST,豐盛大廈,干諾道西168號
FEDERATE BUILDING,292-298 QUEEN'S ROAD WEST,八達大廈,皇后大道西292-298號
SUN KING HOUSE,576-584 QUEEN'S ROAD WEST,新景樓,皇后大道西576-584號
SUN COURT,3-3A BELCHER'S STREET,大新閣,卑路乍街3-3A號
NAM CHEONG BUILDING,48-52 HILL ROAD,南昌大廈,山道48-52號
LIANG GA BUILDING,296-302 DES VOEUX ROAD WEST,良基大廈,德輔道西296-302號
SIU YEE BUILDING,590-596A QUEEN'S ROAD WEST,兆宜大廈,皇后大道西590-596A號
KIN YICK MANSION,15-15C BELCHER'S STREET,建益大樓,卑路乍街15-15C號
LEXINGTON HILL,11 ROCK HILL STREET,LEXINGTON HILL,石山街11號
MEI SUN LAU,489-499 QUEEN'S ROAD WEST,美新樓,皇后大道西489-499號
WESTERN GARDEN,83 SECOND STREET,西園,第二街83號
YUK MING TOWERS,208 THIRD STREET,毓明閣,第三街208號
HOI SING BUILDING,128 SECOND STREET,海昇大廈,第二街128號
KONG CHIAN TOWER,351 DES VOEUX ROAD WEST,光前大廈,德輔道西351號
WESTERN COURT,450-456G QUEEN'S ROAD WEST,西環大樓,皇后大道西450-456G號
DRAGONFAIR GARDEN,485 QUEEN'S ROAD WEST,龍暉花園,皇后大道西485號
KA FU BUILDING,63 CATCHICK STREET,嘉富大廈,吉席街63號
NAN HAI MANSION,"46-47 PRAYA, KENNEDY TOWN",南海大廈,堅彌地城海旁46-47號
LUEN YAU APARTMENTS,102-114 BELCHER'S STREET,聯友新樓,卑路乍街102-114號
CHEUNG LING MANSION,162-164A CONNAUGHT ROAD WEST,昌寧大廈,干諾道西162-164A號
SUNGLOW BUILDING,"11-15 PRAYA, KENNEDY TOWN",曉輝大廈,堅彌地城海旁11-15號
HILL COURT,28 HILL ROAD,曉山閣,山道28號
CHUNG AH MANSION,352-366 DES VOEUX ROAD WEST,中亞大樓,德輔道西352-366號
FOOK MOON BUILDING,56-72 THIRD STREET,福滿大廈,第三街56-72號
THE NOVA,88 THIRD STREET,星鑽,第三街88號
LUEN HONG APARTMENTS,116-122 BELCHER'S STREET,聯康新樓,卑路乍街116-122號
YIP CHEONG (CHEUNG) BUILDING,4-16 HILL ROAD,業昌大廈,山道4-16號
TO LI GARDEN,15-19 TO LI TERRACE,桃李園,桃李臺15-19號
THE MET. SUBLIME,1 KWAI HEUNG STREET,薈臻,桂香街1號
PO FAT BUILDING,34-34B BELCHER'S STREET,保發大樓,卑路乍街34-34B號
SAI WAN NEW APARTMENTS,177-185 BELCHER'S STREET,西環新樓,卑路乍街177-185號
MAN KWONG COURT,12 SMITHFIELD,文光閣,士美非路12號
HIGH WEST,36 CLARENCE TERRENCE,曉譽,加倫臺36號
THE HUDSON,11 DAVIS STREET,浚峰,爹核士街11號
TIN HING BUILDING (MANSION),295-305 DES VOEUX ROAD WEST,天興大廈,德輔道西295-305號
GOA BUILDING,20-24 HILL ROAD,高雅大廈,山道20-24號
PAK HOO MANSION,554-560 QUEEN'S ROAD WEST,百好大樓,皇后大道西554-560號
KING'S BUILDING,521-525 QUEEN'S ROAD WEST,景賜大廈,皇后大道西521-525號
IMPERIAL TERRACE,356 QUEEN'S ROAD WEST,俊庭居,皇后大道西356號
HANG FAI BUILDING,22-32 POK FU LAM ROAD,恆輝大廈,薄扶林道22-32號
CHEONG KING COURT,26-38 HIGH STREET,昌景閣,高街26-38號
EIGHT SOUTH LANE,8-12 SOUTH LANE,EIGHT SOUTH LANE,南里8-12號
TUNG HING MANSION,41-55 BELCHER'S STREET,同興樓,卑路乍街41-55號
THE SAIL AT VICTORIA,86 VICTORIA ROAD,傲翔灣畔,域多利道86號
SILVER COURT,100 HIGH STREET,瑞華閣,高街100號
SHUN HING BUILDING,22-34 CATCHICK STREET,順興大廈,吉席街22-34號
SOUTH HORIZONS,6 SOUTH HORIZON DRIVE,海怡半島,海怡路6號
RESIDENCE BEL-AIR,CYBER PORT ROAD,貝沙灣,數碼港道
CHI FU FA YUEN,9 CHI FU ROAD,置富花園,置富道9號
SHAM WAN TOWERS,AP LEI CHAU DRIVE,深灣軒,鴨?洲徑
MARINA HABITAT,1 YUET HOI STREET,悅海華庭,悅海街1號
BAGUIO VILLA,550 VICTORIA ROAD,碧瑤灣,域多利道550號
WAH KWAI ESTATE,3 WAH KWAI ROAD,華貴?,華貴道3號
LEI TUNG ESTATE,5 LEI TUNG ESTATE ROAD,利東?,利東?道5號
YUE FAI COURT,45 YUE KWONG ROAD,漁暉苑,漁光道45號
LARVOTTO,8 AP LEI CHAU PRAYA ROAD,南灣,鴨?洲海旁道8號
POKFULAM GARDENS,180 POK FU LAM ROAD,薄扶林花園,薄扶林道180號
BROADVIEW COURT,11 SHUM WAN ROAD,雅濤閣,深灣道11號
ABERDEEN CENTRE,11 NAM NING STREET,香港仔中心,南寧街11號
SOUTH WAVE COURT,3 SHUM WAN ROAD,南濤閣,深灣道3號
JADEWATER,238 ABERDEEN MAIN ROAD,南灣御園,香港仔大道238號
OCEAN COURT,3 ABERDEEN PRAYA ROAD,逸港居,香港仔海傍道3號
GRANDVIEW GARDEN,8 NAM LONG SHAN ROAD,金寶花園,南朗山道8號
HUNG FUK COURT,2-4 TIN WAN NEW ST,鴻福苑,田灣新街2-4號
KA LUNG COURT,TIN WAN PRAYA ROAD,嘉隆苑,田灣海旁道
SZE HEI BUILDING,90-96 SHEK PAI WAN ROAD,四喜大廈,石排灣道90-96號
KIN FAI BUILDING,18-20 ABERDEEN MAIN ROAD,建輝大廈,香港仔大道18-20號
YUE ON COURT,3 YUE ON COURT ROAD,漁安苑,漁安苑道3號
AP LEI CHAU CENTRE,138 LEE CHI ROAD,鴨?洲中心,利枝道138號
ABERDEEN HARBOUR MANSION,52-64 ABERDEEN MAIN ROAD,雙喜大廈,香港仔大道52-64號
BILLION COURT,"147 MAIN STREET, AP LEI CHAU",利豐大廈,鴨?洲大街147號
SIU KWAN MANSION,120 OLD MAIN STREET ABERDEEN,兆群大廈,香港仔舊大街120號
YEE HING BUILDING,"150 MAIN STREET, AP LEI CHAU",怡慶大廈,鴨?洲大街150號
FULL JADE MANSION,48-54 SHEK PAI WAN ROAD,富澤大廈,石排灣道48-54號
PELENE MANSION,5 YUE KO STREET,碧麗大廈,漁歌街5號
KAM FAT BUILDING,145 LEE CHI ROAD,金發大廈,利枝道145號
ABBA HOUSE,223-227 ABERDEEN MAIN ROAD,福群大廈 (香港仔大道),香港仔大道223-227號
HOI LEE BUILDING,"49-55 MAIN STREET, AP LEI CHAU",海利大廈,鴨?洲大街49-55號
HAPPY VIEW BUILDING,"165-167 MAIN ST, AP LEI CHAU",樂景大廈,鴨?洲大街165-167號
YEE TIAM BUILDING,5-11 KA WO STREET,益添大廈,嘉禾街5-11號
SEAVIEW COURT,26 ABERDEEN MAIN ROAD,海光閣,香港仔大道26號
SHUN KING COURT,"33 MAIN STREET, AP LEI CHAU",順景閣,鴨?洲大街33號
SILVER MANSION,81 SHEK PAI WAN ROAD,兆暉大廈,石排灣道81號
WORLD FAIR COURT,4 WAH LOK PATH,華富閣,華樂徑4號
YEN SHING MANSION,56-62 SHEK PAI WAN ROAD,仁勝大廈,石排灣道56-62號
SOUTH COAST,1 TANG FUNG STREET,登峰•南岸,登峰街1號
NING FUNG MANSION,"25-31 MAIN STREET, AP LEI CHAU",年豐大廈,鴨?洲大街25-31號
BAYSHORE APARTMENTS,244 ABERDEEN MAIN ROAD,海峰華軒,香港仔大道244號
POKFULAM TERRACE,8 WAH FU ROAD,富臨軒,華富道8號
PAT LEUNG BUILDING,7 LEE MAN ROAD,百良大廈,利民道7號
H．BONAIRE,68 MAIN STREET AP LEI CHAU,倚南,鴨?洲大街68號
WATERFRONT SOUTH,1 YUE WOK STREET,港麗豪園,漁獲街1號
MARINELLA,9 WELFARE ROAD,深灣9號,惠福道9號
KA WO BUILDING,14-22 KA WO STREET,嘉和大廈,嘉禾街14-22號
JING HUI GARDEN,8 ABERDEEN MAIN ROAD,景惠花園,香港仔大道8號
COBLE COURT,"129 MAIN STREET, AP LEI CHAU",高寶閣,鴨?洲大街129號
JUMBO COURT,3 WELFARE ROAD,珍寶閣,惠福道3號
COMFORT CENTRE,108 OLD MAIN STREET ABERDEEN,港暉中心,香港仔舊大街108號
PORT CENTRE,38 CHENGTU ROAD,利港中心,成都道38號
SOUTH VIEW GARDEN,80 SHEK PAI WAN ROAD,南景花園,石排灣道80號
KAM FUNG BUILDING,171 ABERDEEN MAIN ROAD,金豐大廈,香港仔大道171號
JUMBO BUILDING,201 ABERDEEN MAIN ROAD,珍寶大廈,香港仔大道201號
THE BELCHER'S,89 POK FU LAM ROAD,寶翠園,薄扶林道89號
REALTY GARDENS,41 CONDUIT ROAD,聯邦花園,干德道41號
MERRY TERRACE,4A-4P SEYMOUR ROAD,美麗臺,西摩道4A-4P號
UNIVERSITY HEIGHTS,23 POKFIELD ROAD,翰林軒,蒲飛路23號
EUSTON COURT,6 PARK ROAD,豫苑,柏道6號
80 ROBINSON ROAD,80 ROBINSON ROAD,羅便臣道80號,羅便臣道80號
BLESSINGS GARDEN,56 CONDUIT ROAD,殷樺花園,干德道56號
VALIANT PARK,52 CONDUIT ROAD,駿豪閣,干德道52號
SCENIC HEIGHTS,58A-58B CONDUIT ROAD,富景花園,干德道58A-58B號
NING YEUNG TERRACE,78A-78B BONHAM ROAD,寧養臺,般咸道78A-78B號
VANTAGE PARK,22 CONDUIT ROAD,慧豪閣,干德道22號
VILLA VENETO,3 KOTEWALL ROAD,威都閣,旭龢道3號
SEYMOUR PLACE,60 ROBINSON ROAD,信怡閣,羅便臣道60號
FLORAL TOWER,1-9 MOSQUE STREET,福熙苑,摩羅廟街1-9號
GRAMERCY,38 CAINE ROAD,瑧環,堅道38號
PARK VIEW COURT,1 LYTTELTON ROAD,恆柏園,列堤頓道1號
ROBINSON PLACE,70 ROBINSON ROAD,雍景臺,羅便臣道70號
PALATIAL CREST,3 SEYMOUR ROAD,輝煌豪園,西摩道3號
PRIMROSE COURT,56A CONDUIT ROAD,蔚華閣,干德道56A號
SKYVIEW CLIFF,49 CONDUIT ROAD,華庭閣,干德道49號
SCHOLASTIC GARDEN,48 LYTTELTON ROAD,俊傑花園,列堤頓道48號
PANORAMA GARDENS,103 ROBINSON ROAD,景雅花園,羅便臣道103號
SCENIC RISE,46 CAINE ROAD,御景臺,堅道46號
GLORY HEIGHTS,52 LYTTELTON ROAD,嘉和苑,列堤頓道52號
TIM PO COURT,43-45 CAINE ROAD,添寶閣,堅道43-45號
GREENVIEW GARDENS,125 ROBINSON ROAD,景翠園,羅便臣道125號
FULHAM GARDEN,FULHAM GARDEN BLOCK GH,富林苑,薄扶林道84號
GREENERY GARDEN,2A MOUNT DAVIS ROAD,怡林閣,摩星嶺道2A號
REGENT PALISADES,41-45 BISNEY ROAD,帝柏園,碧荔道41-45號
SCENIC VILLAS,2-28 SCENIC VILLA DRIVE,美景臺,美景徑2-28號
ELEGANT TERRACE,36 CONDUIT ROAD,慧明苑,干德道36號
TYCOON COURT,8 CONDUIT ROAD,麗豪閣,干德道8號
THE GRAND PANORAMA,10 ROBINSON ROAD,嘉兆臺,羅便臣道10號
ACADEMIC TERRACE,101 POK FU LAM ROAD,學士臺,薄扶林道101號
CONDUIT TOWER,20 CONDUIT ROAD,君德閣,干德道20號
CAMEO COURT,63-69 CAINE ROAD,慧源閣,堅道63-69號
YING PIU MANSION,1-3 BREEZY PATH,應彪大廈,卑利士道1-3號
WILTON PLACE,18 PARK ROAD,蔚庭軒,柏道18號
GOLDEN PHOENIX COURT,1-2 ST. STEPHEN'S LANE,金鳳閣,聖士提反里1-2號
GOLDWIN HEIGHTS,2 SEYMOUR ROAD,高雲臺,西摩道2號
PEARL GARDENS,7 CONDUIT ROAD,明珠台,干德道7號
CAPE MANSIONS,60-62 MOUNT DAVIS ROAD,翠海別墅,摩星嶺道60-62號
SCENECLIFF,33 CONDUIT ROAD,承德山莊,干德道33號
CAINE BUILDING,22-22A CAINE ROAD,廣堅大廈,堅道22-22A號
ON FUNG BUILDING,110-118 CAINE ROAD,安峰大廈,堅道110-118號
NO. 2 PARK ROAD,2 PARK ROAD,柏道2號,柏道2號
KAM KIN MANSION (K.K. MANSION),119-125 CAINE ROAD,金堅大廈,堅道119-125號
KIN YUEN MANSION,139 CAINE ROAD,堅苑,堅道139號
KA FU BUILDING,19-27 BONHAM ROAD,嘉富大廈,般咸道19-27號
ALBRON COURT,99 CAINE ROAD,豐樂閣,堅道99號
JING TAI GARDEN MANSION,27 ROBINSON ROAD,正大花園,羅便臣道27號
NO. 31 ROBINSON ROAD,31 ROBINSON ROAD,羅便臣道31號,羅便臣道31號
NAMNING MANSION,58-60 BONHAM ROAD,南寧大廈,般咸道58-60號
CONDUIT 18,16-18 CONDUIT ROAD,CONDUIT 18,干德道16-18號
PARK HEIGHT,12A PARK ROAD,柏苑,柏道12A號
ALL FIT GARDEN,20-22 BONHAM ROAD,百合苑,般咸道20-22號
39 CONDUIT ROAD,39 CONDUIT ROAD,天匯,干德道39號
ROBINSON CREST,71-73 ROBINSON ROAD,賓士花園,羅便臣道71-73號
JADESTONE COURT,49 SEYMOUR ROAD,寶玉閣,西摩道49號
GOLDEN VALLEY MANSION,135-137 CAINE ROAD,金谷大廈,堅道135-137號
WELLESLEY,23 ROBINSON ROAD,帝匯豪庭,羅便臣道23號
SEYMOUR,9 SEYMOUR ROAD,懿峰,西摩道9號
READING PLACE,5 ST. STEPHEN'S LANE,莊士明德軒,聖士提反里5號
YING FAI COURT,1 YING FAI TERRACE,英輝閣,英輝臺1號
KAM FUNG MANSION,59-61 BONHAM ROAD,金風大廈,般咸道59-61號
CAINEWAY MANSION,128-132 CAINE ROAD,堅威大廈,堅道128-132號
FAIRVIEW HEIGHT,1 SEYMOUR ROAD,輝煌臺,西摩道1號
CORONA TOWER,93 CAINE ROAD,嘉景臺,堅道93號
RYAN MANSION,31-37 MOSQUE STREET,樂欣大廈,摩羅廟街31-37號
CARBLE GARDEN,2-3 SEYMOUR TERRACE,嘉寶園,西摩臺2-3號
HONOR VILLA,75 CAINE ROAD,翰庭軒,堅道75號
SOHO 38,38 SHELLEY STREET,SOHO 38,些利街38號
GOLDEN PAVILION,66 CAINE ROAD,金庭居,堅道66號
THE REDNAXELA,1 REDNAXELA TERRACE,帝華臺,列拿士地臺1號
AREZZO,33 SEYMOUR ROAD,瀚然,西摩道33號
AZURA,2A SEYMOUR ROAD,蔚然,西摩道2A號
WINSOME PARK,42 CONDUIT ROAD,匯豪閣,干德道42號
CASA BELLA,117 CAINE ROAD,寶華軒,堅道117號
BEAUDRY TOWER,38 BONHAM ROAD,麗怡大廈,般咸道38號
EIVISSA CREST,100 HILL ROAD,尚嶺,山道100號
THE BONHAM MANSION,63 BONHAM ROAD,采文軒,般咸道63號
HONG KONG GARDEN,8 SEYMOUR ROAD,香港花園,西摩道8號
SCENIC GARDEN,9 KOTEWALL ROAD,福苑,旭龢道9號
THE SUMMA,23 HING HON ROAD,高士台,興漢道23號
VILLA CECIL,200 VICTORIA ROAD,趙苑,域多利道200號
ROBINSON HEIGHTS,8 ROBINSON ROAD,樂信臺,羅便臣道8號
THE FORTUNE GARDENS,11 SEYMOUR ROAD,福澤花園,西摩道11號
KINGSFIELD TOWER,64-68 POK FU LAM ROAD,景輝大廈,薄扶林道64-68號
IMPERIAL COURT,62G CONDUIT ROAD,帝豪閣,干德道62G號
PARKWAY COURT,4 PARK ROAD,寶威閣,柏道4號
RHINE COURT,80-82 BONHAM ROAD,禮賢閣,般咸道80-82號
NO. 1 PO SHAN ROAD,1 PO SHAN ROAD,寶珊道1號,寶珊道1號
AQUA 33,33 CONSORT RISE,AQUA 33,金粟街33號
HING WAH MANSIONS,2-4 OAKLANDS PATH,興華樓,屋蘭士里2-4號
Y.Y. MANSIONS,96 POK FU LAM ROAD,裕仁大廈,薄扶林道96號
PEAKSVILLE,74 ROBINSON ROAD,蔚巒閣,羅便臣道74號
CLIFFVIEW MANSIONS,17-25 CONDUIT ROAD,康苑,干德道17-25號
EXCELSIOR COURT,83 ROBINSON ROAD,輝鴻閣,羅便臣道83號
BELLA VISTA,3 YING FAI TERRACE,蔚晴軒,英輝台3號
CAINE MANSION,80-88 CAINE ROAD,堅都大廈,堅道80-88號
MERRY COURT,10 CASTLE ROAD,美麗閣,衛城道10號
WINDSOR COURT,6 CASTLE ROAD,衛城閣,衛城道6號
WISE MANSION,52 ROBINSON ROAD,威勝大廈,羅便臣道52號
FLOURISH COURT,30 CONDUIT ROAD,殷榮閣,干德道30號
MIDLAND COURT,58-62 CAINE ROAD,美蘭閣,堅道58-62號
WOODLAND COURT,2-3 WOODLANDS TERRACE,福臨閣,活倫臺2-3號
HONG KONG PARKVIEW,88 TAI TAM RESERVOIR ROAD,陽明山莊,大潭水塘道88號
LUNG TAK COURT,52 CAPE ROAD,龍德苑,環角道52號
SOUTH BAY TOWERS,59 SOUTH BAY ROAD,南灣大廈,南灣道59號
SEA CLIFF MANSIONS,19A-19D REPULSE BAY ROAD,海峰園,淺水灣道19A-19D號
HILLGROVE,18 CAPE DRIVE,璧如?,環角徑18號
PACIFIC VIEW,38 TAI TAM ROAD,浪琴園,大潭道38號
NO. 6 STANLEY BEACH ROAD,6 STANLEY BEACH ROAD,赤柱灘道6號,赤柱灘道6號
NO. 28 BARKER ROAD,28 BARKER ROAD,白加道28號,白加道28號
TWELVE PEAKS,12 MOUNT KELLETT ROAD,TWELVE PEAKS,加列山道12號
NO. 50 STANLEY VILLAGE ROAD,50 STANLEY VILLAGE ROAD,NO. 50 STANLEY VILLAGE ROAD,赤柱村道50號
37 REPULSE BAY ROAD,37 REPULSE BAY ROAD,淺水灣道37號,淺水灣道37號
REPULSE BAY GARDEN,18-40 BELLEVIEW DRIVE,淺水灣麗景園,麗景道18-40號
REGALIA BAY,88 WONG MA KOK ROAD,富豪海灣,黃麻角道88號
THE BELVEDERE,61 PLANTATION ROAD,THE BELVEDERE,種植道61號
MOUNT NICHOLSON,8 MOUNT NICHOLSON,MOUNT NICHOLSON,聶歌信山道8號
VILLA VERDE,4-18 GUILDFORD ROAD,環翠園,僑福道4-18號
STANFORD VILLA,7 STANLEY VILLAGE ROAD,旭逸居,赤柱村道7號
REDHILL PENINSULA,18 PAK PAT SHAN ROAD,紅山半島,白筆山道18號
LUNG YAN COURT,60 CAPE ROAD,龍欣苑,環角徑60號
GRAND GARDEN,61 SOUTH BAY ROAD,華景園,南灣道61號
SEVERN 8,8 SEVERN ROAD,倚巒,施勳道8號
SHOUSON PEAK,9-19 SHOUSON HILL ROAD,SHOUSON PEAK,壽山村道9-19號
RIDGE COURT,21A-21D REPULSE BAY ROAD,冠園,淺水灣道21A-21D號
RUBY COURT,55 SOUTH BAY ROAD,嘉麟閣,南灣道55號
SUN ON MANSION,20-28 CANNON STREET,新安大廈,景隆街20-28號
PO WAH BUILDING,46-56 QUEEN'S ROAD EAST,寶華大廈,皇后大道東46-56號
J RESIDENCE,60 JOHNSTON ROAD,嘉薈軒,莊士敦道60號
BAY VIEW MANSION,13-33 MORETON TERRACE,灣景樓,摩頓臺13-33號
PEARL CITY MANSION,22-36 PATERSON STREET,珠城大廈,百德新街22-36號
THOMPSON BUILDING,93-103 THOMSON ROAD,譚臣大廈,譚臣道93-103號
HUNG FOOK BUILDING (MANSION),356-362 LOCKHART ROAD,鴻福大廈,駱克道356-362號
EVERWIN MANSION,18 JOHNSTON ROAD,嘉寧大廈,莊士敦道18號
LOCKHART HOUSE,441 LOCKHART ROAD,駱克大廈,駱克道441號
WING TAK BUILDING,275 WAN CHAI ROAD,永德大廈,灣仔道275號
LOK SING CENTRE,19-31 YEE WO STREET,樂聲大廈,怡和街19-31號
LEI HA COURT,7-19 HAVEN STREET,禮希大樓,希雲街7-19號
THE AVENUE,LEE TUNG STREET,囍匯,利東街
CAUSEWAY CENTRE,28 HARBOUR ROAD,灣景中心大廈,港灣道28號
KINGSTON BUILDING,2-4 KINGSTON STREET,京士頓大廈,京士頓街2-4號
THAI KONG BUILDING,482 HENNESSY ROAD,泰港大廈,軒尼詩道482號
HAVEN COURT,128-138 LEIGHTON ROAD,希雲大廈,禮頓道128-138號
CHEE ON BUILDING,24 EAST POINT ROAD,置安大廈,東角道24號
LOK MOON MANSION,29-31 QUEEN'S ROAD EAST,樂滿大廈,皇后大道東29-31號
YEN YING MANSION (BUILDING),215-225A JAFFE ROAD,仁英大廈,謝斐道215-225A號
MAYLAND COURT,1-7 SHELTER STREET,美蘭閣,信德街1-7號
YAU KWONG BUILDING,418-430 HENNESSY ROAD,友光大廈,軒尼詩道418-430號
FRIENDSHIP MANSION,345-351 HENNESSY ROAD,友誼大廈,軒尼詩道345-351號
SIU FUNG BUILDING,9-17 TIN LOK LANE,兆豐大廈,天樂里9-17號
SPRING GARDEN MANSION,29-41 SPRING GARDEN LANE,春園大廈,春園街29-41號
HENNESSY  BUILDING,117-123 HENNESSY ROAD,軒尼詩大樓,軒尼詩道117-123號
HAPPY MANSION,13-19 LEE GARDEN ROAD,HAPPY MANSION,利園山道13-19號
TUNG HEY MANSION (BUILDING),12-20 QUEEN'S ROAD EAST,東曦大廈,皇后大道東12-20號
BRILLIANT COURT,8 KENNEDY STREET,慧賢軒,堅彌地街8號
GOLDEN JUBILEE HOUSE,389-399 LOCKHART ROAD,金禧大廈,駱克道389-399號
WAI TAK BUILDING,414-430 LOCKHART ROAD,偉德大廈,駱克道414-430號
ELIZABETH HOUSE,250-254 GLOUCESTER ROAD,伊利莎伯大廈,告士打道250-254號
VINCENT MANSION,7-7L STAR STREET,永星苑,星街7-7L號
NO. 1 STAR STREET,1 STAR STREET,匯星壹號,星街1號
CAPITAL BUILDING,175-191 LOCKHART ROAD,京城大廈,駱克道175-191號
LEE CHEONG BUILDING,218-220B WAN CHAI ROAD,利昌大廈,灣仔道218-220B號
DANDENONG MANSION,379-389 JAFFE ROAD,特麗樓,謝斐道379-389號
WAI SUN BUILDING,392-402 JAFFE ROAD,維新大廈,謝斐道392-402號
BOWRINGTON BUILDING,2-16A BOWRINGTON ROAD,寶靈大廈,寶靈頓道2-16A號
HONG KONG MANSION,1-1L YEE WO STREET,香港大廈,怡和街1-1L號
MALAHON APARTMENTS,501-515 JAFFE ROAD,美漢大廈,謝斐道501-515號
HENNESSY APARTMENTS,48-52 PERCIVAL STREET,軒尼詩大廈,波斯富街48-52號
WAH TAO (TO) BUILDING,42 WOOD ROAD,華都樓,活道42號
HOI TO COURT,271-275 GLOUCESTER ROAD,海都大廈,告士打道271-275號
CAROLINE HILL COURT,3-15 CAROLINE HILL ROAD,加路連大樓,加路連山道3-15號
MANRICH COURT,33 ST. FRANCIS STREET,萬豪閣,聖佛蘭士街33號
THE GLOUCESTER,212 GLOUCESTER ROAD,尚匯,告士打道212號
